ID	QUERY	SEQUENCE	STRAND	IDENT	LENGTH	COVER	MISMATCH	GAPS	qSTART	qEND	sSTART	sEND	EVALUE	BITSCORE
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2728_00692|MUT-001|	SAUSA300_0191	plus	98.534	2046	100	30	0	1	2046	1	2046	0.0	3555
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2728_01153|MUT-002|	SAUSA300_0527	plus	99.267	3411	96	25	0	142	3552	1	3411	0.0	6039
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2728_02150|MUT-003|	SAUSA300_2199	plus	100.000	354	100	0	0	1	354	1	354	0.0	639
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2728_02150|MUT-004|	SAUSA300_2199	plus	100.000	354	100	0	0	1	354	1	354	0.0	639
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2728_02146|MUT-005|	SAUSA300_2203	plus	98.558	624	100	9	0	1	624	1	624	0.0	1086
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2737_02129|MUT-006|	SAUSA300_1112	plus	99.328	744	100	5	0	1	744	1	744	0.0	1320
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2750_01915|MUT-007|	SAUSA300_2072	plus	99.257	1077	100	8	0	1	1077	1	1077	0.0	1907
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2801_02176|MUT-010|	SAUSA300_0538	plus	99.068	966	100	9	0	1	966	1	966	0.0	1702
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2801_00334|MUT-013|	SAUSA300_0570	plus	99.493	987	100	5	0	1	987	1	987	0.0	1758
../Sa_USA300_FPR3757/Sa_USA300_FPR3757.fna	cBPH2801_00270|MUT-019|	SAUSA300_1517	plus	98.878	891	100	10	0	1	891	1	891	0.0	1563
