n_events,operon_id,operon_label,operon_locus_tags,NCTC8325_chrom,BeginTU,EndTUshort,mutated_features,mutated_features_types,mutated_genes
8,TU-U1095,"agrB, agrD, S872, agrC, S873, agrA","SAOUHSC_02261, SAOUHSC_02262, new_2094581_2094652_1, SAOUHSC_02264, new_2095898_2096005_1, SAOUHSC_02265",NC_007795,2093760,2096611,"SAOUHSC_02264,new_2095898_2096005_1,SAOUHSC_02265",NCTC8325_operons,"agrC,agrA"
8,TU-U1096,"agrB, agrD, S872, agrC, S873, agrA, NA, S875, S876","SAOUHSC_02261, SAOUHSC_02262, new_2094581_2094652_1, SAOUHSC_02264, new_2095898_2096005_1, SAOUHSC_02265, SAOUHSC_02266, new_2096812_2096960_1, new_2096962_2097246_1",NC_007795,2093833,2097206,"SAOUHSC_02264,new_2095898_2096005_1,SAOUHSC_02265",NCTC8325_operons,"agrC,agrA"
6,TU-U1107,"S883, S884, ilvD, ilvB, ilvH, S885, ilvC, leuA, leuB, leuC, leuD, ilvA","new_2111489_2111716_1, new_2111718_2111805_1, SAOUHSC_02281, SAOUHSC_02282, SAOUHSC_02283, new_2115546_2115681_1, SAOUHSC_02284, SAOUHSC_02285, SAOUHSC_02286, SAOUHSC_02287, SAOUHSC_02288, SAOUHSC_02289",NC_007795,2111487,2122519,"SAOUHSC_02287,SAOUHSC_02282,SAOUHSC_02281,SAOUHSC_02289",NCTC8325_operons,"leuC,ilvB,ilvD,ilvA2"
6,TU-U222,"S179, secE, nusG, S180, rplK, S181, rplA, S182, S183, rplJ, rplL, S184, NA, S185, rpoB, S186, rpoC","new_517496_517696_1, SAOUHSC_00516, SAOUHSC_00517, new_518477_518656_1, SAOUHSC_00518, new_519080_519286_1, SAOUHSC_00519, new_519980_520054_1, new_520056_520250_1, SAOUHSC_00520, SAOUHSC_00521, new_521163_521284_1, SAOUHSC_00523, new_521969_522300_1, SAOUHSC_00524, new_525712_525874_1, SAOUHSC_00525",NC_007795,517496,529534,"SAOUHSC_00523,SAOUHSC_00524,new_521969_522300_1,new_520056_520250_1,SAOUHSC_00521,SAOUHSC_00525",NCTC8325_operons,"rsmC,rpoB,rplL,rpoC"
6,TU-U223,"S183, rplJ, rplL, S184, NA, S185, rpoB, S186, rpoC, NA, S187, rpsL, rpsG, S188, fusA, S189, tuf","new_520056_520250_1, SAOUHSC_00520, SAOUHSC_00521, new_521163_521284_1, SAOUHSC_00523, new_521969_522300_1, SAOUHSC_00524, new_525712_525874_1, SAOUHSC_00525, SAOUHSC_00526, new_529863_529959_1, SAOUHSC_00527, SAOUHSC_00528, new_530910_531031_1, SAOUHSC_00529, new_533114_533329_1, SAOUHSC_00530",NC_007795,520056,534515,"SAOUHSC_00523,SAOUHSC_00529,SAOUHSC_00524,new_521969_522300_1,new_520056_520250_1,SAOUHSC_00521,SAOUHSC_00525",NCTC8325_operons,"rsmC,fusA,rpoB,rplL,rpoC"
6,TU-U225,"NA, S185, rpoB, S186, rpoC, NA, S187, rpsL, rpsG, S188, fusA, S189, tuf","SAOUHSC_00523, new_521969_522300_1, SAOUHSC_00524, new_525712_525874_1, SAOUHSC_00525, SAOUHSC_00526, new_529863_529959_1, SAOUHSC_00527, SAOUHSC_00528, new_530910_531031_1, SAOUHSC_00529, new_533114_533329_1, SAOUHSC_00530",NC_007795,521286,534515,"SAOUHSC_00523,SAOUHSC_00529,SAOUHSC_00524,new_521969_522300_1,SAOUHSC_00525",NCTC8325_operons,"rsmC,fusA,rpoB,rpoC"
6,TU-U625,"fapR, plsX, fabD, fabG, S494, S495, acpP, S496, rnc, S497, smc, ftsY, NA, ffh, S498","SAOUHSC_01196, SAOUHSC_01197, SAOUHSC_01198, SAOUHSC_01199, new_1151303_1151463_1, new_1151465_1151544_1, SAOUHSC_01201, new_1151798_1151893_1, SAOUHSC_01203, new_1152626_1152771_1, SAOUHSC_01204, SAOUHSC_01205, SAOUHSC_01206, SAOUHSC_01207, new_1159344_1159684_1",NC_007795,1148062,1159673,"SAOUHSC_01198,SAOUHSC_01196,SAOUHSC_01204,new_1151303_1151463_1,SAOUHSC_01203,new_1151798_1151893_1,SAOUHSC_01205,SAOUHSC_01206",NCTC8325_operons,"fabD,fapR,smc,rnc,ftsY,-"
5,TU-U1046,"S835, purB, S834, hisR, pcrB, pcrA, ligA, NA","new_2001479_2001627_-1, SAOUHSC_02126, new_2000075_2000182_-1, SAOUHSC_02125, SAOUHSC_02124, SAOUHSC_02123, SAOUHSC_02122, SAOUHSC_02121",NC_007795,2001627,1993514,"SAOUHSC_02123,SAOUHSC_02121,SAOUHSC_02126,SAOUHSC_02124",NCTC8325_operons,"pcrA,-,purB,pcrB"
5,TU-U226,"S185, rpoB, S186, rpoC, NA, S187, rpsL, rpsG, S188, fusA, S189, tuf","new_521969_522300_1, SAOUHSC_00524, new_525712_525874_1, SAOUHSC_00525, SAOUHSC_00526, new_529863_529959_1, SAOUHSC_00527, SAOUHSC_00528, new_530910_531031_1, SAOUHSC_00529, new_533114_533329_1, SAOUHSC_00530",NC_007795,521969,534515,"SAOUHSC_00529,SAOUHSC_00524,new_521969_522300_1,SAOUHSC_00525",NCTC8325_operons,"fusA,rpoB,rpoC"
5,TU-U525,"S413, purE, purK, purC, purS, purQ, purL, purF, purM, purN, purH, purD","new_979252_979384_1, SAOUHSC_01008, SAOUHSC_01009, SAOUHSC_01010, SAOUHSC_01011, SAOUHSC_01012, SAOUHSC_01013, SAOUHSC_01014, SAOUHSC_01015, SAOUHSC_01016, SAOUHSC_01017, SAOUHSC_01018",NC_007795,979254,990557,"SAOUHSC_01012,SAOUHSC_01015,SAOUHSC_01013,SAOUHSC_01016,SAOUHSC_01017",NCTC8325_operons,"purQ,purM,purL,purN,purH"
