Strain Name,plate384,Well384,Gene name,gene discription,Accession Number,Row384,Column384
NE1,1,A1,,cell surface protein,SAUSA300_1327,A,1
NE2,1,A3,,"peptidase, rhomboid family",SAUSA300_1509,A,3
NE3,1,A5,,conserved hypothetical protein,SAUSA300_1733,A,5
NE4,1,A7,,ABC transporter ATP-binding protein,SAUSA300_0309,A,7
NE5,1,A9,,aminotransferase,SAUSA300_2539,A,9
NE6,1,A11,,"formate dehydrogenase, alpha subunit",SAUSA300_2258,A,11
NE7,1,A13,,conserved hypothetical phage protein,SAUSA300_1425,A,13
NE8,1,A15,,putative membrane protein,SAUSA300_1481,A,15
NE9,1,A17,,conserved hypothetical protein,SAUSA300_1294,A,17
NE10,1,A19,,putative hemolysin III,SAUSA300_2129,A,19
NE11,1,A21,recJ,single-stranded-DNA-specific exonuclease RecJ,SAUSA300_1592,A,21
NE12,1,A23,,"drug resistance transporter, EmrB/QacA subfamily",SAUSA300_2126,A,23
NE13,1,C1,,ribose transporter RbsU,SAUSA300_0264,C,1
NE14,1,C3,,putative transporter,SAUSA300_2406,C,3
NE15,1,C5,,"transcriptional regulator, TetR family",SAUSA300_2509,C,5
NE16,1,C7,moaD,"molybdopterin converting factor, subunit 1",SAUSA300_2221,C,7
NE17,1,C9,,putative drug transporter,SAUSA300_1705,C,9
NE18,1,C11,,putative membrane protein,SAUSA300_1851,C,11
NE19,1,C13,,conserved hypothetical protein,SAUSA300_0369,C,13
NE20,1,C15,,"transcriptional antiterminator, BglG family",SAUSA300_0238,C,15
NE21,1,C17,upp,uracil phosphoribosyltransferase,SAUSA300_2066,C,17
NE22,1,C19,polA,DNA polymerase I superfamily,SAUSA300_1636,C,19
NE23,1,C21,,conserved hypothetical protein,SAUSA300_0740,C,21
NE24,1,C23,,secretory antigen precursor SsaA,SAUSA300_2503,C,23
NE25,1,E1,,conserved hypothetical protein,SAUSA300_1905,E,1
NE26,1,E3,coa,staphylocoagulase precursor,SAUSA300_0224,E,3
NE27,1,E5,,nitric oxide synthase oxygenase,SAUSA300_1895,E,5
NE28,1,E7,,"hydrolase, alpha/beta hydrolase fold family",SAUSA300_0947,E,7
NE29,1,E9,,PIN domain protein,SAUSA300_0512,E,9
NE30,1,E11,,"hydrolase, haloacid dehalogenase-like family",SAUSA300_0600,E,11
NE31,1,E13,,conserved hypothetical protein,SAUSA300_2093,E,13
NE32,1,E15,,"transcriptional regulator, LysR family domain protein",SAUSA300_0095,E,15
NE33,1,E17,,LPXTG-motif cell wall surface anchor family protein,SAUSA300_2589,E,17
NE34,1,E19,,L-lactate permease,SAUSA300_2313,E,19
NE35,1,E21,trpD,anthranilate phosphoribosyltransferase,SAUSA300_1264,E,21
NE36,1,E23,,conserved hypothetical protein,SAUSA300_2528,E,23
NE37,1,G1,icaA,intercellular adhesion protein A,SAUSA300_2600,G,1
NE38,1,G3,,similar to glycerate dehydrogenase,SAUSA300_2254,G,3
NE39,1,G5,ptsG,"phosphotransferase system, glucose-specific IIABC component",SAUSA300_2476,G,5
