id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
EW033_RS07955	0	2	10421	1	100	100%
SAUSA300_1327	0	2	10421	0	99.95%	100%
EW033_RS12195	1	1	2757	1	100	100%
EW033_RS12205	2	1	2733	1	100	100%
EW033_RS12905	3	3	2478	1	100	100%
SAUSA300_2109	3	3	1293	0	100.00%	52%
SAUSA300_2110	3	3	1102	0	100.00%	44%
EW033_RS01050	4	2	2391	1	100	100%
SAUSA300_0181	4	2	2391	0	97.91%	100%
SAUSA300_2589	5	1	2271	1	100	100%
EW033_RS09710	6	2	2186	1	100	100%
SAUSA300_1702	6	2	2186	0	99.91%	100%
SAUSA300_1393	7	1	2066	1	100	100%
EW033_RS15780	8	1	1759	1	100	100%
EW033_RS11100	9	2	1509	1	100	100%
SAUSA300_1930	9	2	1509	0	97.75%	100%
EW033_RS02965	10	2	1499	1	100	100%
SAUSA300_0445	10	2	1499	0	100.00%	100%
EW033_RS01595	11	1	1482	1	100	100%
SAUSA300_0283	12	1	1479	1	100	100%
EW033_RS07025	13	2	1436	1	100	100%
SAUSA300_1157	13	2	1436	0	99.93%	100%
EW033_RS03560	14	2	1381	1	100	100%
SAUSA300_0547	14	2	1381	0	99.93%	100%
SAUSA300_1750	15	3	1370	1	100	100%
EW033_RS10015	15	3	951	0	99.89%	69%
EW033_RS10000	15	3	422	0	100.00%	30%
EW033_RS09630	16	2	1274	1	100	100%
SAUSA300_1687	16	2	1274	0	99.76%	100%
SAUSA300_1928	17	2	1261	1	100	100%
EW033_RS11090	17	2	1260	0	93.57%	99%
EW033_RS05875	18	2	1256	1	100	100%
SAUSA300_0955	18	2	1256	0	99.92%	100%
EW033_RS14225	19	2	1229	1	100	100%
SAUSA300_2343	19	2	1229	0	100.00%	100%
EW033_RS05400	20	2	1217	1	100	100%
SAUSA300_0870	20	2	1217	0	99.92%	100%
EW033_RS03455	21	2	1198	1	100	100%
SAUSA300_0528	21	2	1198	0	99.83%	100%
