Locus	nsub	kb	enrich	xvBF	ELAMBDA	SDLAMBDA
SAUSA300_0001	0	1.362	0	0.00455950238529113	0.140353055494724	0.00770287463683567
SAUSA300_0002	0	1.134	0	0.00379605656735293	0.140339528583272	0.00770213225112101
SAUSA300_0003	0	0.246	0	0.000823330208277184	0.140286869666624	0.00769924221761396
SAUSA300_0004	0	1.113	0	0.00372574285347582	0.140338282814645	0.00770206388068704
SAUSA300_0005	1	1.935	3.5983812129503	-0.0171708275456695	0.139964209676299	0.00769312872490566
SAUSA300_0006	0	2.664	0	0.00892057618102626	0.140430351269495	0.00770711679359275
SAUSA300_0007	0	0.831	0	0.00278158997889477	0.1403215560643	0.00770114588099938
SAUSA300_0008	0	1.515	0	0.00507185555807155	0.140362134226444	0.00770337289697022
SAUSA300_0009	1	1.287	5.41015357191828	-0.019341014280144	0.139925868801277	0.00769102131982208
SAUSA300_0010	0	0.696	0	0.00232964133510905	0.140313549988624	0.0077007064905154
SAUSA300_0011	0	0.33	0	0.00110448675832231	0.140291849223123	0.00769951550628159
SAUSA300_0012	0	0.969	0	0.00324360831609738	0.140329740997086	0.00770159508754643
SAUSA300_0013	0	0.939	0	0.00314316727826736	0.14032796158267	0.00770149742949127
SAUSA300_0014	0	1.968	0	0.00658901520773725	0.140389021280954	0.00770484851579027
SAUSA300_0015	0	0.447	0	0.00149611413280581	0.140298785623145	0.00769989619068907
SAUSA300_0016	0	1.401	0	0.00469009909693341	0.140355369569744	0.00770300163820004
SAUSA300_0017	0	1.284	0	0.00429831535484482	0.140348427573677	0.00770262064667126
SAUSA300_0018	0	0.075	0	0.000251006330017844	0.140276733804449	0.00769868593990744
SAUSA300_0019	0	0.073	0	0.00024431272458969	0.140276615265045	0.00769867943421113
SAUSA300_0020	0	0.702	0	0.00234972739917794	0.140313905794823	0.00770072601791619
SAUSA300_0021	1	1.827	3.81109340287839	-0.0175325662157775	0.139957818071412	0.00769277741052794
SAUSA300_0022	0	1.284	0	0.00429831535484482	0.140348427573677	0.00770262064667126
SAUSA300_0023	0	0.789	0	0.00264098099933108	0.140319065187293	0.00770100917636539
SAUSA300_0024	0	0.801	0	0.00268115474091246	0.140319776857432	0.00770104823433723
SAUSA300_0025	0	2.319	0	0.00776476059991182	0.140409861380539	0.00770599226484508
SAUSA300_0026	0	0.48	0	0.00160657660171637	0.140300742167695	0.00770000357002024
SAUSA300_0027	0	1.257	0	0.0042079064464815	0.140346825672148	0.00770253273090115
SAUSA300_0028	0	0.675	0	0.00225934050786236	0.140312304681191	0.00770063814539085
SAUSA300_0029	0	0.168	0	0.000562265114695037	0.140282246109191	0.00769898846693437
SAUSA300_0030	0	0.744	0	0.00249033126192444	0.140316396488675	0.00770086271249879
SAUSA300_0031	0	0.429	0	0.00143586251897432	0.140297718440028	0.00769983762140644
SAUSA300_0032	0	2.007	0	0.00671964505227152	0.140391336542068	0.00770497558225152
